Year ending December,Postcode,Incidents Recorded
2009,3000,6491.0
2009,3002,871.0
2009,3003,429.0
2009,3006,1369.0
2009,3008,507.0
2009,3011,2649.0
2009,3012,1374.0
2009,3013,750.0
2009,3015,776.0
2009,3016,861.0
2009,3018,747.0
2009,3019,675.0
2009,3020,4032.0
2009,3021,3152.0
2009,3022,285.0
2009,3023,2476.0
2009,3024,537.0
2009,3025,793.0
2009,3026,266.0
2009,3027,64.0
2009,3028,1538.0
2009,3029,2977.0
2009,3030,3682.0
2009,3031,1705.0
2009,3032,2445.0
2009,3033,394.0
2009,3034,304.0
2009,3036,253.0
2009,3037,1481.0
2009,3038,1552.0
2009,3039,1155.0
2009,3040,1083.0
2009,3041,405.0
2009,3042,998.0
2009,3043,979.0
2009,3044,817.0
2009,3045,252.0
2009,3046,1561.0
2009,3047,2618.0
2009,3048,840.0
2009,3049,369.0
2009,3051,1138.0
2009,3052,630.0
2009,3053,1479.0
2009,3054,412.0
2009,3055,508.0
2009,3056,1955.0
2009,3057,518.0
2009,3058,2047.0
2009,3059,302.0
2009,3060,630.0
2009,3061,864.0
2009,3062,114.0
2009,3063,23.0
2009,3064,1912.0
2009,3065,2043.0
2009,3066,1441.0
2009,3067,576.0
2009,3068,1155.0
2009,3070,1641.0
2009,3071,897.0
2009,3072,3518.0
2009,3073,2680.0
2009,3074,1481.0
2009,3075,1000.0
2009,3076,2024.0
2009,3078,556.0
2009,3079,666.0
2009,3081,1192.0
2009,3082,1309.0
2009,3083,1350.0
2009,3084,1432.0
2009,3085,362.0
2009,3087,420.0
2009,3088,1279.0
2009,3089,315.0
2009,3090,53.0
2009,3091,27.0
2009,3093,105.0
2009,3094,220.0
2009,3095,838.0
2009,3096,23.0
2009,3097,13.0
2009,3099,115.0
2009,3101,985.0
2009,3102,208.0
2009,3103,500.0
2009,3104,466.0
2009,3105,324.0
2009,3106,353.0
2009,3107,251.0
2009,3108,1118.0
2009,3109,647.0
2009,3111,190.0
2009,3113,177.0
2009,3114,62.0
2009,3115,66.0
2009,3116,427.0
2009,3121,3651.0
2009,3122,1569.0
2009,3123,376.0
2009,3124,864.0
2009,3125,534.0
2009,3126,213.0
2009,3127,513.0
2009,3128,1452.0
2009,3129,337.0
2009,3130,888.0
2009,3131,988.0
2009,3132,519.0
2009,3133,456.0
2009,3134,2429.0
2009,3135,821.0
2009,3136,1686.0
2009,3137,526.0
2009,3138,864.0
2009,3139,256.0
2009,3140,763.0
2009,3141,1815.0
2009,3142,527.0
2009,3143,441.0
2009,3144,811.0
2009,3145,1616.0
2009,3146,545.0
2009,3147,463.0
2009,3148,599.0
2009,3149,883.0
2009,3150,2098.0
2009,3151,314.0
2009,3152,1759.0
2009,3153,1121.0
2009,3154,157.0
2009,3155,1296.0
2009,3156,1603.0
2009,3158,245.0
2009,3159,48.0
2009,3160,317.0
2009,3161,614.0
2009,3162,571.0
2009,3163,1025.0
2009,3165,831.0
2009,3166,1201.0
2009,3167,372.0
2009,3168,1287.0
2009,3169,693.0
2009,3170,859.0
2009,3171,1492.0
2009,3172,771.0
2009,3173,994.0
2009,3174,1730.0
2009,3175,5885.0
2009,3177,682.0
2009,3178,1023.0
2009,3179,246.0
2009,3180,261.0
2009,3181,2411.0
2009,3182,3778.0
2009,3183,860.0
2009,3184,685.0
2009,3185,639.0
2009,3186,1012.0
2009,3187,351.0
2009,3188,613.0
2009,3189,761.0
2009,3190,449.0
2009,3191,369.0
2009,3192,1740.0
2009,3193,458.0
2009,3194,679.0
2009,3195,1646.0
2009,3196,1028.0
2009,3197,541.0
2009,3198,1465.0
2009,3199,5683.0
2009,3200,533.0
2009,3201,1152.0
2009,3202,75.0
2009,3204,1051.0
2009,3205,1609.0
2009,3206,807.0
2009,3207,1025.0
2009,3211,86.0
2009,3212,445.0
2009,3213,63.0
2009,3214,2142.0
2009,3215,1098.0
2009,3216,1865.0
2009,3217,23.0
2009,3218,703.0
2009,3219,1089.0
2009,3220,2958.0
2009,3221,203.0
2009,3222,257.0
2009,3223,211.0
2009,3224,219.0
2009,3225,165.0
2009,3226,377.0
2009,3227,179.0
2009,3228,732.0
2009,3230,135.0
2009,3231,34.0
2009,3232,161.0
2009,3233,146.0
2009,3234,6.0
2009,3235,6.0
2009,3236,14.0
2009,3237,14.0
2009,3238,8.0
2009,3239,6.0
2009,3240,34.0
2009,3241,107.0
2009,3242,17.0
2009,3243,7.0
2009,3249,56.0
2009,3250,760.0
2009,3251,11.0
2009,3254,3.0
2009,3260,202.0
2009,3264,149.0
2009,3265,46.0
2009,3266,86.0
2009,3267,6.0
2009,3268,58.0
2009,3269,23.0
2009,3270,10.0
2009,3271,11.0
2009,3272,62.0
2009,3273,7.0
2009,3274,3.0
2009,3275,6.0
2009,3276,1.0
2009,3277,21.0
2009,3278,1.0
2009,3279,7.0
2009,3280,1975.0
2009,3281,5.0
2009,3282,59.0
2009,3283,22.0
2009,3284,122.0
2009,3285,29.0
2009,3286,10.0
2009,3287,4.0
2009,3289,6.0
2009,3292,17.0
2009,3293,7.0
2009,3294,13.0
2009,3300,560.0
2009,3301,14.0
2009,3302,8.0
2009,3303,5.0
2009,3304,100.0
2009,3305,923.0
2009,3309,1.0
2009,3310,7.0
2009,3311,92.0
